date,d18O,sst
1985-01-01,-3.203081814,21.34368037166351
1986-01-01,-2.966840898,20.785498753000418
1988-01-01,-3.245046377,21.442832745851852
1989-01-01,-3.863534447,22.904174319876272
1990-01-01,-3.707308861,22.53505007185621
1992-01-01,-3.397793035,21.803737106753577
1993-01-01,-3.514622485,22.07977756838351
1994-01-01,-3.582624645,22.24045064900002
1995-01-01,-3.608920444,22.302581425913615
1996-01-01,-3.648384527,22.395825755054272
1997-01-01,-3.703068918,22.525032085612125
1998-01-01,-3.626206365,22.343423984125938
1999-01-01,-3.502487008,22.051104295735392
2000-01-01,-3.795477928,22.743372801751462
2001-01-01,-3.578479829,22.230657425441994
2002-01-01,-3.481178577,22.000757494223876
2003-01-01,-3.594787301,22.269188139220905
2004-01-01,-3.285923774,21.539416402952952
2005-01-01,-3.437583268,21.897752051492958
2006-01-01,-3.677629261,22.464924170510347
2007-01-01,-3.582284906,22.239647925796294
2009-01-01,-3.612467319,22.310961855782484
