Date,d18O,sst,end_date,Latitude,Longitude,mmm_from_sst,mmm_from_sst_year_range,Site
1985-01-01,-4.755888889,25.48373673638522,1994-09-01,-21.9,113.97,28.43935360032755,1985_to_1990,TNT
1985-01-31,-4.964,27.058886760212623,1994-09-01,-21.9,113.97,28.43935360032755,1985_to_1990,TNT
1985-03-02,-5.214,28.95108513474752,1994-09-01,-21.9,113.97,28.43935360032755,1985_to_1990,TNT
1985-04-02,-5.125111111,28.278303489627465,1994-09-01,-21.9,113.97,28.43935360032755,1985_to_1990,TNT
1985-05-02,-4.963179487,27.05267646675308,1994-09-01,-21.9,113.97,28.43935360032755,1985_to_1990,TNT
1985-07-02,-4.543444444,23.87578860235335,1994-09-01,-21.9,113.97,28.43935360032755,1985_to_1990,TNT
1985-08-01,-4.425948718,22.98648771534536,1994-09-01,-21.9,113.97,28.43935360032755,1985_to_1990,TNT
1985-09-01,-4.381076923,22.646862365099505,1994-09-01,-21.9,113.97,28.43935360032755,1985_to_1990,TNT
1985-11-01,-4.504941176,23.58436531785782,1994-09-01,-21.9,113.97,28.43935360032755,1985_to_1990,TNT
1985-12-01,-4.593176471,24.252200044960244,1994-09-01,-21.9,113.97,28.43935360032755,1985_to_1990,TNT
1986-01-01,-4.683058824,24.932501013944137,1994-09-01,-21.9,113.97,28.43935360032755,1985_to_1990,TNT
1986-01-31,-4.874235294,26.379476237077416,1994-09-01,-21.9,113.97,28.43935360032755,1985_to_1990,TNT
1986-04-02,-4.907333333,26.62998845946179,1994-09-01,-21.9,113.97,28.43935360032755,1985_to_1990,TNT
1986-05-02,-4.739843137,25.362289752974863,1994-09-01,-21.9,113.97,28.43935360032755,1985_to_1990,TNT
1986-06-02,-4.558470588,23.989518383362658,1994-09-01,-21.9,113.97,28.43935360032755,1985_to_1990,TNT
1986-07-02,-4.378196078,22.62505784419436,1994-09-01,-21.9,113.97,28.43935360032755,1985_to_1990,TNT
1986-09-01,-4.152705882,20.91836911481534,1994-09-01,-21.9,113.97,28.43935360032755,1985_to_1990,TNT
1986-10-01,-4.288266667,21.944400702926036,1994-09-01,-21.9,113.97,28.43935360032755,1985_to_1990,TNT
1986-11-01,-4.429933333,23.016646443449947,1994-09-01,-21.9,113.97,28.43935360032755,1985_to_1990,TNT
1986-12-01,-4.5812,24.161552609124794,1994-09-01,-21.9,113.97,28.43935360032755,1985_to_1990,TNT
1987-01-01,-4.739533333,25.35994491047396,1994-09-01,-21.9,113.97,28.43935360032755,1985_to_1990,TNT
1987-01-31,-4.886866667,26.475080490912383,1994-09-01,-21.9,113.97,28.43935360032755,1985_to_1990,TNT
1987-04-02,-5.078533333,27.925765906343283,1994-09-01,-21.9,113.97,28.43935360032755,1985_to_1990,TNT
1987-05-02,-4.957733333,27.01145565176802,1994-09-01,-21.9,113.97,28.43935360032755,1985_to_1990,TNT
1987-06-02,-4.7744,25.62384351296536,1994-09-01,-21.9,113.97,28.43935360032755,1985_to_1990,TNT
1987-07-02,-4.6318,24.544533560130656,1994-09-01,-21.9,113.97,28.43935360032755,1985_to_1990,TNT
1987-09-01,-4.4818,23.409214535409713,1994-09-01,-21.9,113.97,28.43935360032755,1985_to_1990,TNT
1987-10-01,-4.49525,23.5110148079597,1994-09-01,-21.9,113.97,28.43935360032755,1985_to_1990,TNT
1987-11-01,-4.51027451,23.624732221560432,1994-09-01,-21.9,113.97,28.43935360032755,1985_to_1990,TNT
1987-12-01,-4.515176471,23.661834152105367,1994-09-01,-21.9,113.97,28.43935360032755,1985_to_1990,TNT
1988-01-01,-4.524,23.72861762103121,1994-09-01,-21.9,113.97,28.43935360032755,1985_to_1990,TNT
1988-01-31,-4.774,25.6208159955661,1994-09-01,-21.9,113.97,28.43935360032755,1985_to_1990,TNT
1988-03-01,-5.024,27.513014370101,1994-09-01,-21.9,113.97,28.43935360032755,1985_to_1990,TNT
1988-04-01,-5.0605,27.789275332783095,1994-09-01,-21.9,113.97,28.43935360032755,1985_to_1990,TNT
1988-05-01,-5.07654902,27.91074705101061,1994-09-01,-21.9,113.97,28.43935360032755,1985_to_1990,TNT
1988-06-01,-4.836352941,26.09275252999679,1994-09-01,-21.9,113.97,28.43935360032755,1985_to_1990,TNT
1988-07-02,-4.599843137,24.302658663235317,1994-09-01,-21.9,113.97,28.43935360032755,1985_to_1990,TNT
1988-08-31,-4.580235294,24.154250948624377,1994-09-01,-21.9,113.97,28.43935360032755,1985_to_1990,TNT
1988-10-01,-4.603238095,24.328354399272175,1994-09-01,-21.9,113.97,28.43935360032755,1985_to_1990,TNT
1988-12-01,-4.743428571,25.389427162522065,1994-09-01,-21.9,113.97,28.43935360032755,1985_to_1990,TNT
1989-01-01,-4.954533333,26.98723551257397,1994-09-01,-21.9,113.97,28.43935360032755,1985_to_1990,TNT
1989-01-31,-5.237866667,29.13172700875938,1994-09-01,-21.9,113.97,28.43935360032755,1985_to_1990,TNT
1989-03-02,-5.260857143,29.30573717402732,1994-09-01,-21.9,113.97,28.43935360032755,1985_to_1990,TNT
1989-04-02,-5.196809524,28.82097397176879,1994-09-01,-21.9,113.97,28.43935360032755,1985_to_1990,TNT
1989-05-02,-4.952761905,26.973827939845147,1994-09-01,-21.9,113.97,28.43935360032755,1985_to_1990,TNT
1989-06-02,-4.744,25.39375219062191,1994-09-01,-21.9,113.97,28.43935360032755,1985_to_1990,TNT
1989-07-02,-4.577333333,24.132286605075723,1994-09-01,-21.9,113.97,28.43935360032755,1985_to_1990,TNT
1989-08-01,-4.508285714,23.609679435326505,1994-09-01,-21.9,113.97,28.43935360032755,1985_to_1990,TNT
1989-09-01,-4.490428571,23.474522407492753,1994-09-01,-21.9,113.97,28.43935360032755,1985_to_1990,TNT
1989-10-01,-4.522533333,23.71751672137767,1994-09-01,-21.9,113.97,28.43935360032755,1985_to_1990,TNT
1989-11-01,-4.555866667,23.96980984302819,1994-09-01,-21.9,113.97,28.43935360032755,1985_to_1990,TNT
1989-12-01,-4.714,25.166688385677737,1994-09-01,-21.9,113.97,28.43935360032755,1985_to_1990,TNT
1990-01-01,-4.964,27.058886760212623,1994-09-01,-21.9,113.97,28.43935360032755,1985_to_1990,TNT
1990-01-31,-5.157533333,28.523700592696304,1994-09-01,-21.9,113.97,28.43935360032755,1985_to_1990,TNT
1990-03-02,-5.0867000000000004,27.987577722434356,1994-09-01,-21.9,113.97,28.43935360032755,1985_to_1990,TNT
1990-04-02,-5.015866667,27.451454852172393,1994-09-01,-21.9,113.97,28.43935360032755,1985_to_1990,TNT
1990-05-02,-4.848033333,26.181159005022103,1994-09-01,-21.9,113.97,28.43935360032755,1985_to_1990,TNT
1990-06-02,-4.6522,24.6989369474927,1994-09-01,-21.9,113.97,28.43935360032755,1985_to_1990,TNT
1990-08-01,-4.466933333,23.29669180288111,1994-09-01,-21.9,113.97,28.43935360032755,1985_to_1990,TNT
1990-09-01,-4.4211,22.949788770072647,1994-09-01,-21.9,113.97,28.43935360032755,1985_to_1990,TNT
1990-10-01,-4.455583333,23.210785996677227,1994-09-01,-21.9,113.97,28.43935360032755,1985_to_1990,TNT
1990-11-01,-4.494941176,23.508677382876424,1994-09-01,-21.9,113.97,28.43935360032755,1985_to_1990,TNT
1990-12-01,-4.583176471,24.176512109978855,1994-09-01,-21.9,113.97,28.43935360032755,1985_to_1990,TNT
1991-01-01,-4.672431373,24.85206403191354,1994-09-01,-21.9,113.97,28.43935360032755,1985_to_1990,TNT
1991-01-31,-4.824392157,26.00222382582493,1994-09-01,-21.9,113.97,28.43935360032755,1985_to_1990,TNT
1991-03-02,-4.976352941,27.152383619736323,1994-09-01,-21.9,113.97,28.43935360032755,1985_to_1990,TNT
1991-04-02,-4.959666667,27.026088657576945,1994-09-01,-21.9,113.97,28.43935360032755,1985_to_1990,TNT
1991-05-02,-4.933686275,26.82944843552824,1994-09-01,-21.9,113.97,28.43935360032755,1985_to_1990,TNT
1991-06-02,-4.820941176,25.97610406326993,1994-09-01,-21.9,113.97,28.43935360032755,1985_to_1990,TNT
1991-08-01,-4.505803922,23.590895264173167,1994-09-01,-21.9,113.97,28.43935360032755,1985_to_1990,TNT
1991-09-01,-4.304823529,22.06971617238123,1994-09-01,-21.9,113.97,28.43935360032755,1985_to_1990,TNT
1991-10-01,-4.3488,22.40256500015715,1994-09-01,-21.9,113.97,28.43935360032755,1985_to_1990,TNT
1991-11-01,-4.39825,22.776841838640156,1994-09-01,-21.9,113.97,28.43935360032755,1985_to_1990,TNT
1991-12-01,-4.445125,23.131629033865448,1994-09-01,-21.9,113.97,28.43935360032755,1985_to_1990,TNT
1992-01-01,-4.539733333,23.847699969545676,1994-09-01,-21.9,113.97,28.43935360032755,1985_to_1990,TNT
1992-01-31,-4.773066667,25.613751790824107,1994-09-01,-21.9,113.97,28.43935360032755,1985_to_1990,TNT
1992-04-01,-4.988977778,27.247938403936995,1994-09-01,-21.9,113.97,28.43935360032755,1985_to_1990,TNT
1992-05-01,-4.951916667,26.96743050796637,1994-09-01,-21.9,113.97,28.43935360032755,1985_to_1990,TNT
1992-06-01,-4.863375,26.297276914462326,1994-09-01,-21.9,113.97,28.43935360032755,1985_to_1990,TNT
1992-07-02,-4.736,25.3332018426368,1994-09-01,-21.9,113.97,28.43935360032755,1985_to_1990,TNT
1992-08-01,-4.594695652,24.263698412235552,1994-09-01,-21.9,113.97,28.43935360032755,1985_to_1990,TNT
1992-10-01,-4.5476,23.907241147587303,1994-09-01,-21.9,113.97,28.43935360032755,1985_to_1990,TNT
1992-10-31,-4.6476,24.66412049740126,1994-09-01,-21.9,113.97,28.43935360032755,1985_to_1990,TNT
1992-12-01,-4.7212,25.221183698864333,1994-09-01,-21.9,113.97,28.43935360032755,1985_to_1990,TNT
1993-01-01,-4.775366667,25.631160015869828,1994-09-01,-21.9,113.97,28.43935360032755,1985_to_1990,TNT
1993-01-31,-4.828066667,26.03003543322178,1994-09-01,-21.9,113.97,28.43935360032755,1985_to_1990,TNT
1993-04-02,-4.919733333,26.723841498838713,1994-09-01,-21.9,113.97,28.43935360032755,1985_to_1990,TNT
1993-05-02,-4.771566667,25.602398600576898,1994-09-01,-21.9,113.97,28.43935360032755,1985_to_1990,TNT
1993-06-02,-4.5674,24.057103258850464,1994-09-01,-21.9,113.97,28.43935360032755,1985_to_1990,TNT
1993-08-01,-4.290933333,21.964584147208544,1994-09-01,-21.9,113.97,28.43935360032755,1985_to_1990,TNT
1993-09-01,-4.1826,21.144631520766353,1994-09-01,-21.9,113.97,28.43935360032755,1985_to_1990,TNT
1993-10-01,-4.2105,21.355800859364447,1994-09-01,-21.9,113.97,28.43935360032755,1985_to_1990,TNT
1993-11-01,-4.250431373,21.65803317569863,1994-09-01,-21.9,113.97,28.43935360032755,1985_to_1990,TNT
1993-12-01,-4.436705882,23.06790646828698,1994-09-01,-21.9,113.97,28.43935360032755,1985_to_1990,TNT
1994-01-01,-4.623607843,24.48252881549332,1994-09-01,-21.9,113.97,28.43935360032755,1985_to_1990,TNT
1994-01-31,-4.849098039,26.18921754487234,1994-09-01,-21.9,113.97,28.43935360032755,1985_to_1990,TNT
1994-03-02,-5.074588235,27.895906274251356,1994-09-01,-21.9,113.97,28.43935360032755,1985_to_1990,TNT
1994-04-02,-5.03425,27.59059450345693,1994-09-01,-21.9,113.97,28.43935360032755,1985_to_1990,TNT
1994-05-02,-4.979843137,27.178800192528353,1994-09-01,-21.9,113.97,28.43935360032755,1985_to_1990,TNT
1994-07-02,-4.618039216,24.440381027662152,1994-09-01,-21.9,113.97,28.43935360032755,1985_to_1990,TNT
1994-08-01,-4.495490196,23.512832801882777,1994-09-01,-21.9,113.97,28.43935360032755,1985_to_1990,TNT
1994-09-01,-4.372941176,22.5852845761034,1994-09-01,-21.9,113.97,28.43935360032755,1985_to_1990,TNT
